Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
npv/non-persistent-vote/n2=150/sigma=1.0e-2/verify,1.6879686998050698e-3,1.6863158114267824e-3,1.6895131621745378e-3,5.268067939168896e-6,4.3661712509500545e-6,7.004987696262129e-6
npv/non-persistent-vote/n2=150/sigma=1.0e-2/sortition-check,5.4143519827721475e-6,5.352914300603895e-6,5.436590485599516e-6,7.977783095275291e-8,1.604737996675606e-8,1.516158184329809e-7
npv/non-persistent-vote/n2=150/sigma=5.0e-2/create-win,3.845286693070701e-4,3.8363088614365063e-4,3.8653276467649647e-4,3.5744247606003385e-6,1.9557626791403206e-6,6.573250462424189e-6
npv/non-persistent-vote/n2=150/sigma=5.0e-2/verify,1.6445696651733817e-3,1.6367996164133607e-3,1.669981076568826e-3,4.249218301318268e-5,1.1861665404741968e-5,8.664541264625958e-5
npv/non-persistent-vote/n2=150/sigma=5.0e-2/sortition-check,9.265097051004486e-6,9.239262574718778e-6,9.28239508440784e-6,4.4630148938207796e-8,3.2068500292788784e-8,6.27488412752055e-8
npv/non-persistent-vote/n2=150/sigma=0.1/create-win,4.0065287156909666e-4,3.995916548706428e-4,4.0182054444247336e-4,3.352088834949439e-6,2.788627968964477e-6,4.892374429863147e-6
npv/non-persistent-vote/n2=150/sigma=0.1/verify,1.666614551223992e-3,1.6638964968406253e-3,1.6691963668435679e-3,8.940244248903616e-6,6.82439369953212e-6,1.1745476296394549e-5
npv/non-persistent-vote/n2=150/sigma=0.1/sortition-check,1.5627244086846304e-5,1.549133704658961e-5,1.5959208289178735e-5,4.1143504378864697e-7,1.1943156524204397e-7,6.152566229273493e-7
npv/non-persistent-vote/n2=150/sigma=0.25/create-win,4.19124686042902e-4,4.181102335181622e-4,4.2068978478848455e-4,3.7033572682054216e-6,2.5429422279131903e-6,5.507352082131018e-6
npv/non-persistent-vote/n2=150/sigma=0.25/verify,1.6955373517843664e-3,1.6904965688916498e-3,1.711212800929926e-3,2.7412939148298406e-5,9.036764311098392e-6,5.525813537722437e-5
npv/non-persistent-vote/n2=150/sigma=0.25/sortition-check,3.26257967658108e-5,3.255555641923133e-5,3.269090876936159e-5,1.4543268804166312e-7,1.0690745968256292e-7,2.082653753169411e-7
npv/non-persistent-vote/n2=150/sigma=0.5/create-win,4.564332005343804e-4,4.550793027073283e-4,4.5877977880860775e-4,4.777616954213263e-6,3.234615651778887e-6,8.365896932490872e-6
npv/non-persistent-vote/n2=150/sigma=0.5/verify,1.721122446574299e-3,1.716679977736298e-3,1.7262634985129733e-3,1.5747248040231143e-5,1.195581358367898e-5,2.1771800652098435e-5
npv/non-persistent-vote/n2=150/sigma=0.5/sortition-check,6.367163810998904e-5,6.351629946660156e-5,6.3881293504495e-5,3.6094396579910056e-7,2.474482200321126e-7,5.819891997341906e-7
