Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
npv/non-persistent-vote/n2=50/sigma=0.25/create-win,4.201402951087285e-4,4.1796630295836925e-4,4.255144685871342e-4,8.799821850175456e-6,6.041278346842041e-6,1.3651804213337716e-5
npv/non-persistent-vote/n2=50/sigma=0.25/verify,1.7023600350886663e-3,1.6997217649436986e-3,1.7055194769968894e-3,9.180938840846996e-6,7.582659563816482e-6,1.185781733907505e-5
npv/non-persistent-vote/n2=50/sigma=0.25/sortition-check,1.4726466533706452e-5,1.4571314123050733e-5,1.4945442692860646e-5,3.9818817743058316e-7,2.886738390439767e-7,5.76898769594843e-7
npv/non-persistent-vote/n2=50/sigma=0.5/create-win,4.252447820072917e-4,4.225769005442625e-4,4.2894375794152263e-4,8.848505275629302e-6,6.2376303918644675e-6,1.0894523712780123e-5
npv/non-persistent-vote/n2=50/sigma=0.5/verify,1.7050921910957445e-3,1.7013218840444418e-3,1.7084219540032918e-3,1.2075423531669085e-5,9.822542097998627e-6,1.4604261788736262e-5
npv/non-persistent-vote/n2=50/sigma=0.5/sortition-check,2.417512754617884e-5,2.4131960889192263e-5,2.4227033079114155e-5,9.983961066116625e-8,7.466922047929808e-8,1.4527820227274948e-7
npv/non-persistent-vote/n2=70/sigma=5.0e-3/create-win,4.029292546895098e-4,4.0197351367548677e-4,4.03967209072153e-4,2.218963187408578e-6,1.7698400220642168e-6,2.779839017813857e-6
npv/non-persistent-vote/n2=70/sigma=5.0e-3/create-lose,2.7440457288677216e-4,2.734670156546142e-4,2.757265924848696e-4,2.6991878627702042e-6,1.9186323601291295e-6,3.807962990317072e-6
npv/non-persistent-vote/n2=70/sigma=5.0e-3/verify,1.6832455417807074e-3,1.6799351444436706e-3,1.6873226021100942e-3,1.1597919921723077e-5,9.156102544769578e-6,1.717700525996785e-5
npv/non-persistent-vote/n2=70/sigma=5.0e-3/sortition-check,5.501376060960644e-6,5.460454088130495e-6,5.5539003308527975e-6,9.806028357728646e-8,7.471296997445547e-8,1.2388078120580216e-7
npv/non-persistent-vote/n2=70/sigma=1.0e-2/create-win,4.111476709559769e-4,4.0762328703803133e-4,4.193113926771909e-4,1.3155316561464459e-5,6.969002475936148e-6,2.4301578016847276e-5
